"Statistic Label","Employment Status","Sex","Broad Industrial Group","CensusYear","UNIT","VALUE"
"Population Aged 15 Years and Over","Employee","Female","Mining and quarrying (B)","2016","Number","558"
"Population Aged 15 Years and Over","Employee","Female","Manufacturing (C)","2011","Number","53991"
"Population Aged 15 Years and Over","Employee","Female","Manufacturing (C)","2016","Number","57624"
"Population Aged 15 Years and Over","Employee","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","2656"
"Population Aged 15 Years and Over","Employee","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","3090"
"Population Aged 15 Years and Over","Employee","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","1628"
"Population Aged 15 Years and Over","Employee","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","1898"
"Population Aged 15 Years and Over","Employee","Female","Construction (F)","2011","Number","6111"
"Population Aged 15 Years and Over","Employee","Female","Construction (F)","2016","Number","6119"
"Population Aged 15 Years and Over","Employee","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","118164"
"Population Aged 15 Years and Over","Employee","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","118185"
"Population Aged 15 Years and Over","Employee","Female","Transportation and storage (H)","2011","Number","14034"
"Population Aged 15 Years and Over","Employee","Female","Transportation and storage (H)","2016","Number","15853"
"Population Aged 15 Years and Over","Employee","Female","Accommodation and food service activities (I)","2011","Number","49972"
"Population Aged 15 Years and Over","Employee","Female","Accommodation and food service activities (I)","2016","Number","56188"
"Population Aged 15 Years and Over","Employee","Female","Information and communication (J)","2011","Number","20821"
"Population Aged 15 Years and Over","Employee","Female","Information and communication (J)","2016","Number","26813"
"Population Aged 15 Years and Over","Employee","Female","Financial and insurance activities (K)","2011","Number","50997"
"Population Aged 15 Years and Over","Employee","Female","Financial and insurance activities (K)","2016","Number","46910"
"Population Aged 15 Years and Over","Employee","Female","Real estate activities (L)","2011","Number","3180"
"Population Aged 15 Years and Over","Employee","Female","Real estate activities (L)","2016","Number","3642"
"Population Aged 15 Years and Over","Employee","Female","Professional, scientific and technical activities (M)","2011","Number","37154"
"Population Aged 15 Years and Over","Employee","Female","Professional, scientific and technical activities (M)","2016","Number","44401"
"Population Aged 15 Years and Over","Employee","Female","Administrative and support service activities (N)","2011","Number","24519"
"Population Aged 15 Years and Over","Employee","Female","Administrative and support service activities (N)","2016","Number","28719"
"Population Aged 15 Years and Over","Employee","Female","Public administration and defence; compulsory social security (O)","2011","Number","52963"
"Population Aged 15 Years and Over","Employee","Female","Public administration and defence; compulsory social security (O)","2016","Number","49794"
"Population Aged 15 Years and Over","Employee","Female","Education (P)","2011","Number","118851"
"Population Aged 15 Years and Over","Employee","Female","Education (P)","2016","Number","125997"
"Population Aged 15 Years and Over","Employee","Female","Human health and social work activities (Q)","2011","Number","152534"
"Population Aged 15 Years and Over","Employee","Female","Human health and social work activities (Q)","2016","Number","169409"
"Population Aged 15 Years and Over","Employee","Female","Arts, entertainment and recreation (R)","2011","Number","12675"
"Population Aged 15 Years and Over","Employee","Female","Arts, entertainment and recreation (R)","2016","Number","12507"
"Population Aged 15 Years and Over","Employee","Female","Other service activities (S)","2011","Number","20593"
"Population Aged 15 Years and Over","Employee","Female","Other service activities (S)","2016","Number","21736"
"Population Aged 15 Years and Over","Employee","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","1592"
"Population Aged 15 Years and Over","Employee","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","2086"
"Population Aged 15 Years and Over","Employee","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","393"
"Population Aged 15 Years and Over","Employee","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","447"
"Population Aged 15 Years and Over","Employee","Female","Industry not stated","2011","Number","36869"
"Population Aged 15 Years and Over","Employee","Female","Industry not stated","2016","Number","58703"
"Population Aged 15 Years and Over","Employee","Female","Total persons","2011","Number","785164"
"Population Aged 15 Years and Over","Employee","Female","Total persons","2016","Number","855891"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","1958"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","1376"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Mining and quarrying (B)","2011","Number","8"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Mining and quarrying (B)","2016","Number","8"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Manufacturing (C)","2011","Number","203"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Manufacturing (C)","2016","Number","156"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","3"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","4"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","10"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","6"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Construction (F)","2011","Number","253"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Construction (F)","2016","Number","197"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","673"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","461"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Transportation and storage (H)","2011","Number","150"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Transportation and storage (H)","2016","Number","118"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Accommodation and food service activities (I)","2011","Number","387"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Accommodation and food service activities (I)","2016","Number","324"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Information and communication (J)","2011","Number","61"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Information and communication (J)","2016","Number","67"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Financial and insurance activities (K)","2011","Number","28"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Financial and insurance activities (K)","2016","Number","28"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Real estate activities (L)","2011","Number","39"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Real estate activities (L)","2016","Number","25"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Professional, scientific and technical activities (M)","2011","Number","208"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Professional, scientific and technical activities (M)","2016","Number","170"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Administrative and support service activities (N)","2011","Number","188"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Administrative and support service activities (N)","2016","Number","161"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","58"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","40"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Education (P)","2011","Number","199"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Education (P)","2016","Number","183"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Human health and social work activities (Q)","2011","Number","314"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Human health and social work activities (Q)","2016","Number","277"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Arts, entertainment and recreation (R)","2011","Number","74"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Arts, entertainment and recreation (R)","2016","Number","79"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Other service activities (S)","2011","Number","161"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Other service activities (S)","2016","Number","143"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","98"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","81"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","2"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Industry not stated","2011","Number","797"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Industry not stated","2016","Number","783"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Total persons","2011","Number","5872"
"Population Aged 15 Years and Over","Assisting relative","Both sexes","Total persons","2016","Number","4688"
"Population Aged 15 Years and Over","Assisting relative","Male","Agriculture, forestry and fishing (A)","2011","Number","1176"
"Population Aged 15 Years and Over","Assisting relative","Male","Agriculture, forestry and fishing (A)","2016","Number","898"
"Population Aged 15 Years and Over","Assisting relative","Male","Mining and quarrying (B)","2011","Number","6"
"Population Aged 15 Years and Over","Assisting relative","Male","Mining and quarrying (B)","2016","Number","7"
"Population Aged 15 Years and Over","Assisting relative","Male","Manufacturing (C)","2011","Number","80"
"Population Aged 15 Years and Over","Assisting relative","Male","Manufacturing (C)","2016","Number","71"
"Population Aged 15 Years and Over","Assisting relative","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","2"
"Population Aged 15 Years and Over","Assisting relative","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","3"
"Population Aged 15 Years and Over","Assisting relative","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","7"
"Population Aged 15 Years and Over","Assisting relative","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","5"
"Population Aged 15 Years and Over","Assisting relative","Male","Construction (F)","2011","Number","181"
"Population Aged 15 Years and Over","Assisting relative","Male","Construction (F)","2016","Number","159"
"Population Aged 15 Years and Over","Assisting relative","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","228"
"Population Aged 15 Years and Over","Assisting relative","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","188"
"Population Aged 15 Years and Over","Assisting relative","Male","Transportation and storage (H)","2011","Number","58"
"Population Aged 15 Years and Over","Assisting relative","Male","Transportation and storage (H)","2016","Number","61"
"Population Aged 15 Years and Over","Assisting relative","Male","Accommodation and food service activities (I)","2011","Number","126"
"Population Aged 15 Years and Over","Assisting relative","Male","Accommodation and food service activities (I)","2016","Number","129"
"Population Aged 15 Years and Over","Assisting relative","Male","Information and communication (J)","2011","Number","27"
"Population Aged 15 Years and Over","Assisting relative","Male","Information and communication (J)","2016","Number","35"
"Population Aged 15 Years and Over","Assisting relative","Male","Financial and insurance activities (K)","2011","Number","5"
"Population Aged 15 Years and Over","Assisting relative","Male","Financial and insurance activities (K)","2016","Number","7"
"Population Aged 15 Years and Over","Assisting relative","Male","Real estate activities (L)","2011","Number","8"
"Population Aged 15 Years and Over","Assisting relative","Male","Real estate activities (L)","2016","Number","5"
"Population Aged 15 Years and Over","Assisting relative","Male","Professional, scientific and technical activities (M)","2011","Number","62"
"Population Aged 15 Years and Over","Assisting relative","Male","Professional, scientific and technical activities (M)","2016","Number","42"
"Population Aged 15 Years and Over","Assisting relative","Male","Administrative and support service activities (N)","2011","Number","63"
"Population Aged 15 Years and Over","Assisting relative","Male","Administrative and support service activities (N)","2016","Number","65"
"Population Aged 15 Years and Over","Assisting relative","Male","Public administration and defence; compulsory social security (O)","2011","Number","15"
"Population Aged 15 Years and Over","Assisting relative","Male","Public administration and defence; compulsory social security (O)","2016","Number","17"
"Population Aged 15 Years and Over","Assisting relative","Male","Education (P)","2011","Number","53"
"Population Aged 15 Years and Over","Assisting relative","Male","Education (P)","2016","Number","50"
"Population Aged 15 Years and Over","Assisting relative","Male","Human health and social work activities (Q)","2011","Number","41"
"Population Aged 15 Years and Over","Assisting relative","Male","Human health and social work activities (Q)","2016","Number","46"
"Population Aged 15 Years and Over","Assisting relative","Male","Arts, entertainment and recreation (R)","2011","Number","29"
"Population Aged 15 Years and Over","Assisting relative","Male","Arts, entertainment and recreation (R)","2016","Number","39"
"Population Aged 15 Years and Over","Assisting relative","Male","Other service activities (S)","2011","Number","58"
"Population Aged 15 Years and Over","Assisting relative","Male","Other service activities (S)","2016","Number","46"
"Population Aged 15 Years and Over","Assisting relative","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","14"
"Population Aged 15 Years and Over","Assisting relative","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","11"
"Population Aged 15 Years and Over","Assisting relative","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","0"
"Population Aged 15 Years and Over","Assisting relative","Male","Industry not stated","2011","Number","317"
"Population Aged 15 Years and Over","Assisting relative","Male","Industry not stated","2016","Number","351"
"Population Aged 15 Years and Over","Assisting relative","Male","Total persons","2011","Number","2557"
"Population Aged 15 Years and Over","Assisting relative","Male","Total persons","2016","Number","2235"
"Population Aged 15 Years and Over","Assisting relative","Female","Agriculture, forestry and fishing (A)","2011","Number","782"
"Population Aged 15 Years and Over","Assisting relative","Female","Agriculture, forestry and fishing (A)","2016","Number","478"
"Population Aged 15 Years and Over","Assisting relative","Female","Mining and quarrying (B)","2011","Number","2"
"Population Aged 15 Years and Over","Assisting relative","Female","Mining and quarrying (B)","2016","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Manufacturing (C)","2011","Number","123"
"Population Aged 15 Years and Over","Assisting relative","Female","Manufacturing (C)","2016","Number","85"
"Population Aged 15 Years and Over","Assisting relative","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","3"
"Population Aged 15 Years and Over","Assisting relative","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Construction (F)","2011","Number","72"
"Population Aged 15 Years and Over","Assisting relative","Female","Construction (F)","2016","Number","38"
"Population Aged 15 Years and Over","Assisting relative","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","445"
"Population Aged 15 Years and Over","Assisting relative","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","273"
"Population Aged 15 Years and Over","Assisting relative","Female","Transportation and storage (H)","2011","Number","92"
"Population Aged 15 Years and Over","Assisting relative","Female","Transportation and storage (H)","2016","Number","57"
"Population Aged 15 Years and Over","Assisting relative","Female","Accommodation and food service activities (I)","2011","Number","261"
"Population Aged 15 Years and Over","Assisting relative","Female","Accommodation and food service activities (I)","2016","Number","195"
"Population Aged 15 Years and Over","Assisting relative","Female","Information and communication (J)","2011","Number","34"
"Population Aged 15 Years and Over","Assisting relative","Female","Information and communication (J)","2016","Number","32"
"Population Aged 15 Years and Over","Assisting relative","Female","Financial and insurance activities (K)","2011","Number","23"
"Population Aged 15 Years and Over","Assisting relative","Female","Financial and insurance activities (K)","2016","Number","21"
"Population Aged 15 Years and Over","Assisting relative","Female","Real estate activities (L)","2011","Number","31"
"Population Aged 15 Years and Over","Assisting relative","Female","Real estate activities (L)","2016","Number","20"
"Population Aged 15 Years and Over","Assisting relative","Female","Professional, scientific and technical activities (M)","2011","Number","146"
"Population Aged 15 Years and Over","Assisting relative","Female","Professional, scientific and technical activities (M)","2016","Number","128"
"Population Aged 15 Years and Over","Assisting relative","Female","Administrative and support service activities (N)","2011","Number","125"
"Population Aged 15 Years and Over","Assisting relative","Female","Administrative and support service activities (N)","2016","Number","96"
"Population Aged 15 Years and Over","Assisting relative","Female","Public administration and defence; compulsory social security (O)","2011","Number","43"
"Population Aged 15 Years and Over","Assisting relative","Female","Public administration and defence; compulsory social security (O)","2016","Number","23"
"Population Aged 15 Years and Over","Assisting relative","Female","Education (P)","2011","Number","146"
"Population Aged 15 Years and Over","Assisting relative","Female","Education (P)","2016","Number","133"
"Population Aged 15 Years and Over","Assisting relative","Female","Human health and social work activities (Q)","2011","Number","273"
"Population Aged 15 Years and Over","Assisting relative","Female","Human health and social work activities (Q)","2016","Number","231"
"Population Aged 15 Years and Over","Assisting relative","Female","Arts, entertainment and recreation (R)","2011","Number","45"
"Population Aged 15 Years and Over","Assisting relative","Female","Arts, entertainment and recreation (R)","2016","Number","40"
"Population Aged 15 Years and Over","Assisting relative","Female","Other service activities (S)","2011","Number","103"
"Population Aged 15 Years and Over","Assisting relative","Female","Other service activities (S)","2016","Number","97"
"Population Aged 15 Years and Over","Assisting relative","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","84"
"Population Aged 15 Years and Over","Assisting relative","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","70"
"Population Aged 15 Years and Over","Assisting relative","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","1"
"Population Aged 15 Years and Over","Assisting relative","Female","Industry not stated","2011","Number","480"
"Population Aged 15 Years and Over","Assisting relative","Female","Industry not stated","2016","Number","432"
"Population Aged 15 Years and Over","Assisting relative","Female","Total persons","2011","Number","3315"
"Population Aged 15 Years and Over","Assisting relative","Female","Total persons","2016","Number","2453"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","5947"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","3988"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Mining and quarrying (B)","2011","Number","1195"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Mining and quarrying (B)","2016","Number","548"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Manufacturing (C)","2011","Number","34513"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Manufacturing (C)","2016","Number","17311"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","743"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","512"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","1135"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","804"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Construction (F)","2011","Number","66696"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Construction (F)","2016","Number","22356"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","38588"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","25297"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Transportation and storage (H)","2011","Number","9737"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Transportation and storage (H)","2016","Number","5070"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Accommodation and food service activities (I)","2011","Number","18121"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Accommodation and food service activities (I)","2016","Number","12484"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Information and communication (J)","2011","Number","6759"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Information and communication (J)","2016","Number","4984"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Financial and insurance activities (K)","2011","Number","5135"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Financial and insurance activities (K)","2016","Number","4032"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Real estate activities (L)","2011","Number","896"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Real estate activities (L)","2016","Number","436"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Professional, scientific and technical activities (M)","2011","Number","10421"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Professional, scientific and technical activities (M)","2016","Number","5406"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Administrative and support service activities (N)","2011","Number","11612"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Administrative and support service activities (N)","2016","Number","7154"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","4158"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","2891"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Education (P)","2011","Number","9059"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Education (P)","2016","Number","7125"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Human health and social work activities (Q)","2011","Number","8816"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Human health and social work activities (Q)","2016","Number","7493"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Arts, entertainment and recreation (R)","2011","Number","4083"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Arts, entertainment and recreation (R)","2016","Number","2939"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Other service activities (S)","2011","Number","5337"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Other service activities (S)","2016","Number","3770"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","231"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","224"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","48"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","42"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Industry not stated","2011","Number","147447"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Industry not stated","2016","Number","131096"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Total persons","2011","Number","390677"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Both sexes","Total persons","2016","Number","265962"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Agriculture, forestry and fishing (A)","2011","Number","5062"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Agriculture, forestry and fishing (A)","2016","Number","3324"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Mining and quarrying (B)","2011","Number","1112"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Mining and quarrying (B)","2016","Number","496"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Manufacturing (C)","2011","Number","24542"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Manufacturing (C)","2016","Number","11609"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","610"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","397"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","954"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","675"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Construction (F)","2011","Number","64627"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Construction (F)","2016","Number","21615"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","20620"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","12670"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Transportation and storage (H)","2011","Number","8182"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Transportation and storage (H)","2016","Number","4103"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Accommodation and food service activities (I)","2011","Number","8256"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Accommodation and food service activities (I)","2016","Number","5658"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Information and communication (J)","2011","Number","4295"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Information and communication (J)","2016","Number","3221"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Financial and insurance activities (K)","2011","Number","2092"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Financial and insurance activities (K)","2016","Number","1632"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Real estate activities (L)","2011","Number","371"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Real estate activities (L)","2016","Number","198"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Professional, scientific and technical activities (M)","2011","Number","5671"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Professional, scientific and technical activities (M)","2016","Number","2714"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Administrative and support service activities (N)","2011","Number","7297"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Administrative and support service activities (N)","2016","Number","4157"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Public administration and defence; compulsory social security (O)","2011","Number","2371"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Public administration and defence; compulsory social security (O)","2016","Number","1631"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Education (P)","2011","Number","2891"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Education (P)","2016","Number","1960"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Human health and social work activities (Q)","2011","Number","1692"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Human health and social work activities (Q)","2016","Number","1670"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Arts, entertainment and recreation (R)","2011","Number","2212"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Arts, entertainment and recreation (R)","2016","Number","1712"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Other service activities (S)","2011","Number","1094"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Other service activities (S)","2016","Number","779"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","33"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","12"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","25"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","16"
